id_questao;id_modulo;grupo;numero;dificuldade;enunciado;alternativa_correta;alternativa_a;alternativa_b;alternativa_c;alternativa_C;imagem
126;5;1;6;média;Uma equipe Scrum percebe conflitos recorrentes de comunicação interna. Qual evento é mais apropriado para tratar esse problema?;c;Daily Scrum;Sprint Planning;Sprint Retrospective;Sprint Review;NULL
127;5;1;7;média;Um Product Owner constantemente altera prioridades durante a Sprint. Esse comportamento tende a comprometer principalmente:;b;A Sprint Review;O Sprint Goal;A Definition of Done;A Retrospective;NULL
128;5;1;8;difícil;Uma equipe entrega incrementos frequentes, mas o cliente demonstra insatisfação contínua. Qual análise é mais coerente nesse cenário?;b;O time entrega rápido demais;O foco pode estar em velocidade, não em valor;O Scrum não é adequado ao projeto;As Sprints são longas demais;NULL
129;5;1;9;difícil;Um Scrum Master atua como gerente tradicional, distribuindo tarefas e cobrando resultados individuais. Esse comportamento impacta negativamente principalmente:;b;A transparência;A auto-organização do time;O Product Backlog;A Sprint Review;NULL
130;5;1;10;difícil;Uma equipe evita retrospectivas para “ganhar tempo”. A consequência mais provável dessa decisão é:;c;Aumento da velocidade;Melhoria contínua do processo;Repetição dos mesmos problemas;Maior previsibilidade;NULL
131;5;2;1;fácil;O uso de User Stories em ambientes ágeis tem como principal objetivo:;b;Substituir requisitos funcionais;Representar necessidades do usuário de forma simples;Eliminar documentação;Reduzir testes;NULL
132;5;2;2;fácil;Uma User Story bem escrita geralmente contém:;c;Apenas requisitos técnicos;Código-fonte;Papel, necessidade e benefício;Cronograma detalhado;NULL
133;5;2;3;fácil;Critérios de aceitação servem principalmente para:;b;Medir desempenho individual;Definir quando uma User Story está completa;Controlar custo;Planejar Sprints;NULL
134;5;2;4;média;Durante o planejamento, a equipe percebe que não compreende totalmente uma User Story. Qual ação é mais adequada?;c;Estimar mesmo assim;Remover a story do backlog;Refinar e esclarecer a story;Ignorar os critérios de aceitação;NULL
135;5;2;5;média;Uma User Story grande demais tende a gerar:;b;Melhor previsibilidade;Dificuldade de estimativa e entrega;Maior velocidade;Menor risco;NULL
136;5;2;6;média;Em ambientes ágeis, a estimativa é utilizada principalmente para:;c;Cobrança individual;Comparação entre equipes;Apoiar planejamento e previsões;Eliminar incertezas;NULL
137;5;2;7;média;Uma equipe decide ignorar critérios de aceitação para ganhar velocidade. Esse comportamento compromete diretamente:;c;A Sprint Review;O Sprint Backlog;A qualidade e a satisfação do cliente;A Daily Scrum;NULL
138;5;2;8;difícil;Estimativas em métodos ágeis são consideradas:;b;Compromissos contratuais fixos;Previsões baseadas em informação incompleta;Garantias de entrega;Métricas de desempenho individual;NULL
139;5;2;9;difícil;Quando o backlog não é refinado continuamente, o principal risco é:;b;Aumento da velocidade;Planejamento ineficiente das Sprints;Redução de retrospectivas;Eliminação do Product Owner;NULL
140;5;2;10;difícil;Uma equipe entrega todas as stories planejadas, mas com baixo valor percebido. Isso indica principalmente:;c;Planejamento excessivo;Falta de métricas;Problemas na priorização do backlog;Excesso de testes;NULL
141;5;3;1;fácil;O planejamento de releases tem como principal objetivo:;b;Eliminar mudanças;Definir entregas futuras de alto nível;Substituir Sprints;Detalhar tarefas técnicas;NULL
142;5;3;2;fácil;Em projetos ágeis, riscos são tratados preferencialmente por meio de:;b;Documentação extensa;Entregas frequentes e feedback;Contratos rígidos;Planejamento fixo;NULL
143;5;3;3;fácil;Um dos princípios ágeis incentiva:;c;Trabalho isolado;Comunicação mínima;Colaboração constante;Planejamento rígido;NULL
144;5;3;4;média;Quando uma equipe enfrenta mudanças frequentes de escopo, a abordagem ágil ajuda principalmente porque:;b;Elimina a necessidade de controle;Facilita adaptação contínua;Evita interação com o cliente;Aumenta a documentação;NULL
145;5;3;5;média;Uma decisão técnica que acelera a entrega agora, mas gera retrabalho futuro, caracteriza:;c;Melhoria contínua;Otimização de fluxo;Dívida técnica;Refatoração;NULL
146;5;3;6;média;A gestão ágil de riscos está mais associada a:;b;Previsão detalhada de todos os problemas;Respostas rápidas baseadas em feedback;Eliminação de mudanças;Centralização das decisões;NULL
147;5;3;7;média;Uma equipe madura em agilidade demonstra principalmente:;b;Alta velocidade constante;Capacidade de aprender e se adaptar;Ausência de erros;Planejamento rígido;NULL
148;5;3;8;difícil;A adoção “mecânica” do Scrum, sem entendimento de seus princípios, tende a resultar em:;d;Maior agilidade;Melhoria contínua;Cumprimento automático de metas;Perda de efetividade do framework;NULL
149;5;3;9;difícil;Quando decisões são tomadas sem considerar feedback do cliente, o principal risco é:;c;Aumento da velocidade;Redução da transparência;Entregar funcionalidades sem valor;Eliminação do backlog;NULL
150;5;3;10;difícil;O sucesso em projetos ágeis depende principalmente de:;c;Ferramentas sofisticadas;Processos rígidos;Pessoas, colaboração e aprendizado contínuo;Documentação extensa;NULL
